MonthlyCharges,Churn_Probability,Revenue_At_Risk
105.3,0.9049386584680261,95.29004073668315
95.65,0.97848450503577,93.59204290667141
100.55,0.9086455150841469,91.36430654171097
98.05,0.9165711842356535,89.86980461430582
95.2,0.9435477782458274,89.82574848900276
96.2,0.9278537833126805,89.25953395467987
94.4,0.9360927055238761,88.36715140145391
93.9,0.9406469989772709,88.32675320396574
102.45,0.8616576725013321,88.27682854776147
105.9,0.8301392805892154,87.91174981439791
95.1,0.9194613430593329,87.44077372494256
98.6,0.8766943867132351,86.44206652992497
89.55,0.9568087494088965,85.68222350956668
98.7,0.8655211615363501,85.42693864363775
90.75,0.9402754639715095,85.32999835541449
95.15,0.8967919348127754,85.32975259743559
89.1,0.9560522484816291,85.18425533971315
90.7,0.9382218343936112,85.09672037950054
88.35,0.9547641057996552,84.35340874739953
94.55,0.8919421147853752,84.33312695295723
